id,epoch,val_loss,val_acc,loss,acc
0x7cb8abc9436a7697,9,0.0643,0.5111,0.0452,0.7524
0x7cb8abc9436a7697,10,0.0622,0.5111,0.0456,0.7714
0x3e07d4a66dcec32,1,0.0912,0.6889,0.1138,0.3333
0x3e07d4a66dcec32,2,0.0839,0.5111,0.0894,0.5714
0x3e07d4a66dcec32,3,0.0773,0.5111,0.0869,0.5619
0x3e07d4a66dcec32,4,0.0748,0.5111,0.0746,0.6762
0x3e07d4a66dcec32,5,0.0746,0.5111,0.0683,0.6476
0x3e07d4a66dcec32,6,0.0706,0.5111,0.0584,0.7238
0x3e07d4a66dcec32,7,0.0669,0.5111,0.0611,0.7048
0x3e07d4a66dcec32,8,0.0641,0.5111,0.0567,0.7238
0x3e07d4a66dcec32,9,0.0618,0.5111,0.0468,0.7524
0x3e07d4a66dcec32,10,0.0605,0.5111,0.0489,0.7619
0x5ae4e8ab9cec43c6,1,0.2215,0.2,0.1797,0.3143
0x5ae4e8ab9cec43c6,2,0.2028,0.2,0.1678,0.3524
0x5ae4e8ab9cec43c6,3,0.1838,0.2,0.1549,0.3143
0x5ae4e8ab9cec43c6,4,0.1453,0.2,0.1306,0.4095
0x5ae4e8ab9cec43c6,5,0.1308,0.4889,0.1243,0.3619
0x5ae4e8ab9cec43c6,6,0.1205,0.5111,0.1105,0.4762
0x5ae4e8ab9cec43c6,7,0.1123,0.5111,0.0899,0.619
0x5ae4e8ab9cec43c6,8,0.1136,0.5111,0.0887,0.6095
0x5ae4e8ab9cec43c6,9,0.1001,0.5111,0.0864,0.6381
0x5ae4e8ab9cec43c6,10,0.0953,0.5111,0.0768,0.6762
0x3b4d6f0913f25f23,1,0.1647,0.2,0.1443,0.3905
0x3b4d6f0913f25f23,2,0.149,0.2,0.1362,0.3905
0x3b4d6f0913f25f23,3,0.1337,0.2,0.1281,0.3905
0x3b4d6f0913f25f23,4,0.1215,0.2,0.1211,0.3905
0x3b4d6f0913f25f23,5,0.1137,0.5778,0.1164,0.4381
0x3b4d6f0913f25f23,6,0.1088,0.6889,0.1137,0.6571
0x3b4d6f0913f25f23,7,0.1057,0.6889,0.1112,0.6571
0x3b4d6f0913f25f23,8,0.1033,0.6889,0.1081,0.6571
0x3b4d6f0913f25f23,9,0.1009,0.6889,0.1043,0.6571
0x3b4d6f0913f25f23,10,0.0985,0.6889,0.0996,0.6571
0x4afc55f925dde4a1,1,0.1237,0.4667,0.1296,0.4095
0x4afc55f925dde4a1,2,0.1101,0.5111,0.1064,0.4667
0x4afc55f925dde4a1,3,0.0975,0.5111,0.1038,0.4667
0x4afc55f925dde4a1,4,0.0914,0.5111,0.0836,0.6
0x4afc55f925dde4a1,5,0.0808,0.5111,0.09,0.5238
0x4afc55f925dde4a1,6,0.0777,0.5111,0.0716,0.6381
0x4afc55f925dde4a1,7,0.0769,0.5111,0.0727,0.6286
0x4afc55f925dde4a1,8,0.077,0.5111,0.0606,0.7524
0x4afc55f925dde4a1,9,0.0733,0.5111,0.0557,0.7524
